Date,Open,Close,High,Low,Volume
25/04/2024,4.947000027,4.760000229,5.099999905,4.675000191,7129
26/04/2024,4.624000072,4.521999836,4.84499979,4.471000195,8359
29/04/2024,5.099999905,4.725999832,5.099999905,4.352000237,13829
30/04/2024,4.760000229,4.675000191,4.760000229,4.436999798,6882
1/5/2024,4.624000072,4.675000191,4.725999832,4.436999798,6518
2/5/2024,4.675000191,4.420000076,4.760000229,4.386000156,8000
3/5/2024,4.420000076,4.28399992,4.505000114,4.25,10476
6/5/2024,4.420000076,4.267000198,4.505000114,4.25,20229
7/5/2024,4.25,4.21600008,4.420000076,4.164999962,6765
8/5/2024,4.368999958,4.18200016,4.368999958,4.097000122,6924
9/5/2024,4.131000042,4.25,4.25,4.046000004,5000
10/5/2024,4.28399992,4.352000237,4.420000076,4.164999962,5088
13/05/2024,4.539000034,4.420000076,4.539000034,4.386000156,6076
14/05/2024,4.436999798,4.606999874,4.675000191,4.352000237,9012
15/05/2024,5.440000057,6.289999962,10.02999973,4.77699995,1583500
16/05/2024,5.933000088,4.929999828,5.949999809,4.691999912,174776
17/05/2024,5.218999863,5.321000099,5.610000134,4.81099987,87424
20/05/2024,5.269999981,5.610000134,5.610000134,4.77699995,33612
21/05/2024,4.980999947,5.014999866,5.218999863,4.760000229,25700
22/05/2024,5.014999866,4.895999908,5.014999866,4.624000072,48506
23/05/2024,4.929999828,4.572999954,5.014999866,4.25,31894
24/05/2024,4.487999916,4.657999992,4.657999992,4.471000195,11876
28/05/2024,4.606999874,4.28399992,4.606999874,3.910000086,55112
29/05/2024,3.994999886,4.012000084,4.164999962,3.960999966,32376
30/05/2024,4.097000122,4.386000156,4.590000153,4.079999924,37729
31/05/2024,4.556000233,4.606999874,5.269999981,4.21600008,76641
3/6/2024,4.590000153,4.624000072,4.675000191,4.352000237,25888
4/6/2024,4.487999916,4.420000076,4.606999874,4.335000038,12276
5/6/2024,4.352000237,4.301000118,4.487999916,4.267000198,5324
6/6/2024,4.420000076,4.079999924,4.420000076,3.994999886,24476
7/6/2024,4.25,4.232999802,4.471000195,3.994999886,39924
10/6/2024,4.31799984,3.944000006,4.31799984,3.842000008,31824
11/6/2024,4.063000202,3.927000046,4.25,3.825000048,13759
12/6/2024,3.960999966,3.910000086,4.147999763,3.671999931,18988
13/06/2024,3.790999889,3.927000046,3.944000006,3.70600009,10512
14/06/2024,3.875999928,3.756999969,4.079999924,3.74000001,9335
17/06/2024,3.825000048,3.773999929,3.994999886,3.484999895,20388
18/06/2024,11.03299999,6.646999836,18.53000069,6.646999836,23226382
20/06/2024,8.925000191,10.26799965,11.86600018,8.177000046,8198759
21/06/2024,8.36400032,7.90500021,8.975999832,7.224999905,584506
24/06/2024,8.211000443,7.650000095,9.68999958,7.309999943,822988
25/06/2024,7.089000225,6.749000072,7.480000019,5.967000008,279247
26/06/2024,5.269999981,4.84499979,5.610000134,4.25,478318
27/06/2024,4.725999832,4.25,4.794000149,4.18200016,255094
28/06/2024,4.25,3.842000008,4.25,3.74000001,238400
1/7/2024,4.260000229,4.659999847,4.980000019,3.730000019,1891600
2/7/2024,4.360000134,3.799999952,4.429999828,3.757999897,278100
3/7/2024,4.050000191,3.900000095,4.25,3.75999999,218200
5/7/2024,3.920000076,3.789999962,4.150000095,3.599999905,312000
8/7/2024,3.75,3.579999924,3.75,3.299999952,166900
9/7/2024,3.549999952,3.690000057,4,3.351999998,162700
10/7/2024,3.650000095,4.059999943,4.234000206,3.650000095,289700
11/7/2024,4.059999943,4.079999924,4.300000191,3.910000086,182800
12/7/2024,4.079999924,4.369999886,4.590000153,4.050000191,160100
15/07/2024,4.260000229,4.119999886,4.448999882,4,146100
16/07/2024,4.039999962,3.980000019,4.190000057,3.950000048,57700
17/07/2024,3.980000019,4.409999847,4.599999905,3.980000019,277000
18/07/2024,4.130000114,4,4.289999962,3.910000086,107600
19/07/2024,3.960000038,3.849999905,4.03000021,3.799999952,99700
22/07/2024,3.960000038,3.700000048,4.090000153,3.588999987,157900
23/07/2024,3.700000048,3.920000076,4.079999924,3.700000048,121100
24/07/2024,4,3.880000114,4.119999886,3.799999952,109900
25/07/2024,3.809999943,4.070000172,4.28000021,3.799999952,150900
26/07/2024,3.75,3.75999999,4,3.650000095,175200
29/07/2024,3.890000105,3.710000038,3.90899992,3.619999886,42300
30/07/2024,3.799999952,3.599999905,3.890000105,3.5,107300
31/07/2024,3.599999905,3.589999914,3.75999999,3.50999999,39200
1/8/2024,3.599999905,3.440000057,3.642999887,3.400000095,40300
2/8/2024,3.400000095,3.599999905,3.630000114,3.299999952,43800
5/8/2024,3.160000086,3.210000038,3.640000105,2.430000067,207700
6/8/2024,3.210000038,3,3.210000038,2.970000029,23400
7/8/2024,3.059999943,2.880000114,3.128000021,2.809999943,25900
8/8/2024,2.960000038,2.75999999,2.996000051,2.75,21600
9/8/2024,2.75,2.795000076,2.880000114,2.660000086,17000
12/8/2024,2.789999962,2.5,2.869999886,2.5,57000
13/08/2024,2.559999943,2.539999962,2.660000086,2.400000095,25900
14/08/2024,2.529999971,2.529999971,2.569999933,2.400000095,23800
15/08/2024,2.549999952,2.630000114,2.680000067,2.529999971,19700
16/08/2024,2.619999886,2.569999933,2.700000048,2.569999933,29700
19/08/2024,2.680000067,2.476999998,2.680000067,2.440000057,26900
20/08/2024,2.50999999,2.819999933,2.890000105,2.50999999,78200
21/08/2024,2.890000105,2.650000095,2.890000105,2.650000095,86000
22/08/2024,2.809999943,2.736999989,2.880000114,2.710000038,39900
23/08/2024,2.910000086,2.880000114,2.921999931,2.711999893,35000
26/08/2024,2.809999943,2.799999952,2.849999905,2.730000019,13700
27/08/2024,2.753999949,2.680000067,2.799999952,2.519999981,33900
28/08/2024,2.680000067,2.779999971,2.890000105,2.660000086,55900
29/08/2024,2.779999971,2.809999943,2.819999933,2.720000029,34300
30/08/2024,2.75999999,2.799999952,2.859999895,2.680000067,17700
3/9/2024,2.849999905,2.690000057,2.849999905,2.619999886,17300
4/9/2024,2.700000048,2.75,2.802999973,2.630000114,59900
5/9/2024,2.660000086,2.799999952,2.859999895,2.660000086,39600
6/9/2024,2.730000019,2.799999952,2.920000076,2.684999943,64200
9/9/2024,2.880000114,2.849999905,3.329999924,2.74000001,285500
10/9/2024,2.839999914,2.809999943,2.960000038,2.660000086,50600
11/9/2024,2.789999962,2.789999962,2.799999952,2.650000095,21500
12/9/2024,2.630000114,2.74000001,2.75999999,2.630000114,24400
13/09/2024,2.74000001,2.75999999,2.90199995,2.670000076,102900
16/09/2024,2.710000038,2.730000019,2.789999962,2.684000015,215200
17/09/2024,2.73300004,2.700000048,2.73300004,2.599999905,82000
18/09/2024,2.650000095,2.599999905,2.709000111,2.579999924,309500
19/09/2024,2.700000048,2.450000048,2.700000048,2.122999907,449400
20/09/2024,2.589999914,2.539999962,2.642999887,2.519999981,547600
23/09/2024,2.539999962,2.390000105,2.539999962,2.210000038,162000
24/09/2024,2.380000114,2.309999943,2.400000095,2.289999962,71500
25/09/2024,2.329999924,2.230000019,2.398999929,2.210000038,168000
26/09/2024,2.289999962,2.210000038,2.329999924,2.210000038,43800
27/09/2024,2.299999952,2.190000057,2.299999952,2.150000095,60900
30/09/2024,2.339999914,2.24000001,2.569999933,2.230000019,1170500
1/10/2024,2.210000038,2.410000086,2.410000086,2.170000076,195200
